"facility","facility_uid","subcounty","subcounty_uid","municipality","municipality_uid","district","district_uid","region","region_uid"
"Pandwong Division Field Survey Station 001","JEOnniXpbdj","Pandwong Division","KVTbja9X7lA","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Kitgum Matidi Subcounty Field Survey Station 001","aKgreJPVnve","Kitgum Matidi Subcounty","K1ZKgCaz0Hd","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Koch Goma Town Council Field Survey Station 002","NdIteLoT2FC","Koch Goma Town Council","ZUgWbD4nVgr","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Lii Subcounty Field Survey Station 002","uG6WV4UKNaB","Lii Subcounty","lKPVaCs4EKn","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Paimol Subcounty Field Survey Station 001","ASNnd0et215","Paimol Subcounty","zzl9JUHMQY1","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 014","jnS54maqjwy","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Koro Subcounty Field Survey Station 002","oYdsJ8kS1JS","Koro Subcounty","q03uh0SJ0N9","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Kotomor Subcounty Field Survey Station 001","xErihzThO6h","Kotomor Subcounty","nmK9yk0kjmP","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Kuywee Subcounty Field Survey Station 001","TTIgbcijnJz","Kuywee Subcounty","OCsQzKO3T3S","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lamiyo Subcounty Field Survey Station 001","fIGI5AZsJHF","Lamiyo Subcounty","QpcgX2e3WIK","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Amuru Subcounty Field Survey Station 003","Tvayfd3cIU2","Amuru Subcounty","acwO6ZCWJj7","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Pajule Town Council Field Survey Station 001","tR6T1FslkZe","Pajule Town Council","jPjIMFeR7aI","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Palaro Subcounty Field Survey Station 001","ltWFhjfI6qF","Palaro Subcounty","N00GWUvXv52","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Omoro Town Council Field Survey Station 002","uGfXrLtYv7J","Omoro Town Council","doqbXRMc7VZ","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Pabo Town Council Field Survey Station 001","FNTxj1oKTQd","Pabo Town Council","zWPYifWT74s","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Lunyiri Subcounty Field Survey Station 001","go1XRnoCBUU","Lunyiri Subcounty","i6CIBWCCnRQ","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Mucwini Subcounty Field Survey Station 001","GYYFVZOZ3gz","Mucwini Subcounty","C7fvZef106g","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Laguti Subcounty Field Survey Station 002","ynatvEoBz7A","Laguti Subcounty","anccgvVRV6E","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Purongo Town Council Field Survey Station 002","fOcpxbnY878","Purongo Town Council","HGs7L6N4m9I","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Koro Subcounty Field Survey Station 003","qKVewTpVtG6","Koro Subcounty","q03uh0SJ0N9","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Lagoro Subcounty Field Survey Station 002","qDsAKcIKGZy","Lagoro Subcounty","aUTx89Nc5z1","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Orom Subcounty Field Survey Station 003","Kz91AKphExv","Orom Subcounty","iDEPY2bO8nQ","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Lalogi Subcounty Field Survey Station 002","Dxbu2QPZahI","Lalogi Subcounty","Jwnd2Jayc4g","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Lamiyo Subcounty Field Survey Station 002","gEJIdy608EI","Lamiyo Subcounty","QpcgX2e3WIK","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lamwo Town Council Field Survey Station 001","fOeJTkJdDNS","Lamwo Town Council","pAlHNtMDmam","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Lamwo Town Council Field Survey Station 002","EsNOJ2SO3pj","Lamwo Town Council","pAlHNtMDmam","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Lakwana Subcounty Field Survey Station 001","ede2KlZ1gtL","Lakwana Subcounty","BNUP3lD4kG4","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Paminyai Subcounty Field Survey Station 001","w4z6Vt9nkBs","Paminyai Subcounty","K7MZOYXVlxc","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Lirapalwo Subcounty Field Survey Station 001","o919aB1NWyq","Lirapalwo Subcounty","pH004BIak3K","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Labora Subcounty Field Survey Station 003","EsXcenXz99W","Labora Subcounty","wZJNRLqCyXo","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 015","FvZUwmuSrzB","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Lokole Subcounty Field Survey Station 001","FHLViw9IqR6","Lokole Subcounty","d7O2HPDA9UV","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lapul Subcounty Field Survey Station 002","UUt3ZtL1hIJ","Lapul Subcounty","ayMSTn5sz80","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Atanga Subcounty Field Survey Station 001","lgz0xxaxfhr","Atanga Subcounty","hQNlx67qNxz","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 016","elqHQKpMveQ","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Latanya Subcounty Field Survey Station 001","kBBhLlLFodJ","Latanya Subcounty","OWgilSeUm8D","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Porogali Subcounty Field Survey Station 002","Z0euhskPX5T","Porogali Subcounty","dIzjMUl4O3X","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Gotapwoyo Subcounty Field Survey Station 002","u3JBwviodwN","Gotapwoyo Subcounty","qfuKjuPQLQ4","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Bongtiko Subcounty Field Survey Station 001","CADR9HaNyWH","Bongtiko Subcounty","m1x1hEShdUo","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Atanga Subcounty Field Survey Station 002","hhz818sQTkO","Atanga Subcounty","hQNlx67qNxz","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 015","n8DIemz1Xoh","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Omiyapacwa Subcounty Field Survey Station 001","gvwYnobdOdM","Omiyapacwa Subcounty","Lv7IX3Xxutv","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Bobi Subcounty Field Survey Station 004","tbLOoJ5HpgT","Bobi Subcounty","FjaBJw5pfW8","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 016","JIhuoOFwtAr","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Laperebong Subcounty Field Survey Station 001","h0zUXZyCyJL","Laperebong Subcounty","Lf5vTc3Z42M","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lapono Subcounty Field Survey Station 002","pBrduMkhHQy","Lapono Subcounty","qUDCFxUq4uw","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lira Kato Subcounty Field Survey Station 002","a9ZI6jNBqXx","Lira Kato Subcounty","WwUCbB1nYLS","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lira Palwo Town Council Field Survey Station 001","aNM5X9P50rl","Lira Palwo Town Council","l7uazBwTNHf","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Labongo Layamo Subcounty Field Survey Station 001","WgmL7qQcVxV","Labongo Layamo Subcounty","GYTYaoNGHZ3","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Lamwo Town Council Field Survey Station 003","MV2QkTgUIz1","Lamwo Town Council","pAlHNtMDmam","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 010","CU6IfK8lFaQ","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Lakwaya Subcounty Field Survey Station 002","SsSHoj0KsxS","Lakwaya Subcounty","coaoxeAQ63Z","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Owalo Subcounty Field Survey Station 001","Gzcd4Zsd8iB","Owalo Subcounty","ALL4sSTGBRn","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Owalo Subcounty Field Survey Station 002","PQ5WTEpxw8U","Owalo Subcounty","ALL4sSTGBRn","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Lakwana Subcounty Field Survey Station 002","Fw6WydOY9UR","Lakwana Subcounty","BNUP3lD4kG4","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Bungatira Subcounty Field Survey Station 002","dIbIL5tIcDi","Bungatira Subcounty","LNkFivzpeA1","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Agago Town Council Field Survey Station 001","RHk4V3ZlFbx","Agago Town Council","lhKxF8mfub4","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Lakwaya Subcounty Field Survey Station 003","Uu40YoS0Mvr","Lakwaya Subcounty","coaoxeAQ63Z","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Labongo Amida Subcounty Field Survey Station 002","ayBEw3mzXtd","Labongo Amida Subcounty","awkC6nEZfiH","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Lungulu Subcounty Field Survey Station 002","u5RZ36WcsNN","Lungulu Subcounty","bCNDIuzKOcc","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Agoro Subcounty Field Survey Station 002","Yt5KV7Q0Zp4","Agoro Subcounty","pTX9sgiNkqB","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Padibe West Subcounty Field Survey Station 001","pulKKykB9je","Padibe West Subcounty","HMzXFZXwkDG","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Madi Opei Subcounty Field Survey Station 001","Z3lDSWMFUyS","Madi Opei Subcounty","dXbVDDOMeOX","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Bobi Subcounty Field Survey Station 005","dhaWOvNE3VT","Bobi Subcounty","FjaBJw5pfW8","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 017","aRBRoPNJuhf","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Pajule Town Council Field Survey Station 002","QyscUadfYko","Pajule Town Council","jPjIMFeR7aI","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 017","pD07V67nAEZ","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 011","XyQOt9FlVin","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Central Division Field Survey Station 012","FW0YzouB8dl","Central Division","mdLZLcMudPe","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Aremo Subcounty Field Survey Station 001","TDEdS0suFyQ","Aremo Subcounty","JSyWK54sPRn","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 018","Vc52QmdPT1X","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Koro Subcounty Field Survey Station 004","n4iwSO6iule","Koro Subcounty","q03uh0SJ0N9","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Atiak Subcounty Field Survey Station 002","VdSMFKnHeyT","Atiak Subcounty","ftLtvhHg24p","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Mucwini Subcounty Field Survey Station 002","qKGMj34R5qZ","Mucwini Subcounty","C7fvZef106g","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Laroo Pece Division Field Survey Station 019","y6obJSQlHLE","Laroo Pece Division","LllQ7wFfkGG","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Layima Subcounty Field Survey Station 001","M5YKLYHpU1v","Layima Subcounty","gvrKZ1wFDGc","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Anaka Town Council Field Survey Station 004","hA3RIyJEMci","Anaka Town Council","wGT5jjiP2kz","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Namokora Subcounty Field Survey Station 001","iqr4dCf6xsU","Namokora Subcounty","aOw1OatOZPe","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Pandwong Division Field Survey Station 002","v6eIpzse4SO","Pandwong Division","KVTbja9X7lA","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Lokung Subcounty Field Survey Station 002","ahIE2es9s39","Lokung Subcounty","q5gtDb5elfP","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Pandwong Division Field Survey Station 003","mrFe7PfavEW","Pandwong Division","KVTbja9X7lA","Kitgum Municipality","fjlLg5TXxZG","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Pajule Town Council Field Survey Station 003","bKzZqsPr8zk","Pajule Town Council","jPjIMFeR7aI","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Pader Town Council Field Survey Station 001","miIJ9LLUACg","Pader Town Council","OoSjd5RuEQb","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Anaka Town Council Field Survey Station 005","Xbg5zMwUaaR","Anaka Town Council","wGT5jjiP2kz","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Bobi Subcounty Field Survey Station 006","LwjvSxyQN4J","Bobi Subcounty","FjaBJw5pfW8","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Amuru Subcounty Field Survey Station 004","OJYXXSC87rV","Amuru Subcounty","acwO6ZCWJj7","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Agengo Subcounty Field Survey Station 002","cPeDqm6vYHn","Agengo Subcounty","kYiQXgFKSkQ","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Kitgum Matidi Subcounty Field Survey Station 002","GFklTLJ61aK","Kitgum Matidi Subcounty","K1ZKgCaz0Hd","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Odek Subcounty Field Survey Station 003","RyuiNh0Ldqs","Odek Subcounty","acQJJL9aUo0","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Kotomor Subcounty Field Survey Station 002","s21e0ARLfsE","Kotomor Subcounty","nmK9yk0kjmP","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Pabo Subcounty Field Survey Station 004","C8i6PL7Rmim","Pabo Subcounty","EgcvIoAN7Ti","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Paiula Subcounty Field Survey Station 001","cYnbNkuMQpk","Paiula Subcounty","o4PLiJLKhAb","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Padibe East Subcounty Field Survey Station 002","p1DN5s8Iw8F","Padibe East Subcounty","b24YFQUhFfF","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Ogom Subcounty Field Survey Station 002","au4iSDaT4wv","Ogom Subcounty","qbyIofSU5tA","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Puranga Subcounty Field Survey Station 002","afJ9NgYTYDa","Puranga Subcounty","CyUUpNIQ98L","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Pajule Subcounty Field Survey Station 001","ZVgz9dP8OF6","Pajule Subcounty","elu8zUTsqIW","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Lapono Subcounty Field Survey Station 003","ifSPcuzT8Iw","Lapono Subcounty","qUDCFxUq4uw","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Bar-Dege Layibi Division Field Survey Station 018","F2C1BkGVMSW","Bar-Dege Layibi Division","xN3BZZ5MtYs","Gulu City Council","AaEdnyGpKsv","Gulu City","szlrGpmFlu9","Acholi","SUvODYOcaVf"
"Atiak Subcounty Field Survey Station 003","kJ8CMUMloVu","Atiak Subcounty","ftLtvhHg24p","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Labongo Amida Subcounty Field Survey Station 003","MxcpmhA0rrA","Labongo Amida Subcounty","awkC6nEZfiH","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Acholibur Subcounty Field Survey Station 001","aCeYBPSHvrT","Acholibur Subcounty","IcEOvr6u0b6","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Madi Opei Subcounty Field Survey Station 002","t7sCLD2E7gA","Madi Opei Subcounty","dXbVDDOMeOX","Lamwo DLG","IWvCvsABM8H","Lamwo District","xy0M4HhjXtD","Acholi","SUvODYOcaVf"
"Amuru Subcounty Field Survey Station 005","LPjcTTbfcGL","Amuru Subcounty","acwO6ZCWJj7","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Wol Subcounty Field Survey Station 001","fN5JzGLE8gv","Wol Subcounty","EJCiKQCS6WT","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Pogo Subcounty Field Survey Station 001","a4QeS81YJ8z","Pogo Subcounty","E7GUvPlMBr9","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Lokole Subcounty Field Survey Station 002","zfMY9GBN26I","Lokole Subcounty","d7O2HPDA9UV","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Guru-Guru Subcounty Field Survey Station 002","vnIPfEUR8ce","Guru-Guru Subcounty","tunpJ39KaWx","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Layima Subcounty Field Survey Station 002","llrIsQDjqka","Layima Subcounty","gvrKZ1wFDGc","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Omel Subcounty Field Survey Station 001","ZEEW8QXy1sS","Omel Subcounty","SXn9X0OzWLu","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Omiya Anyima Subcounty Field Survey Station 001","MObVMkBVjki","Omiya Anyima Subcounty","ZZmXu10Dnci","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Omiyapacwa Subcounty Field Survey Station 002","p1eA0ghuSyR","Omiyapacwa Subcounty","Lv7IX3Xxutv","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Omot Subcounty Field Survey Station 001","GzIVh9blxSN","Omot Subcounty","XAYIceYQGIl","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Ongako Subcounty Field Survey Station 001","du8F23WZLMw","Ongako Subcounty","hMmTuvB73LZ","Omoro DLG","tBL1F0kqlgU","Omoro District","S5fvUXgY54J","Acholi","SUvODYOcaVf"
"Lapono Subcounty Field Survey Station 004","ajeoW3M1Tvm","Lapono Subcounty","qUDCFxUq4uw","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Kotomor Subcounty Field Survey Station 003","eVHfL3dqKR5","Kotomor Subcounty","nmK9yk0kjmP","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Patongo Subcounty Field Survey Station 001","JICsD1QzzeJ","Patongo Subcounty","tlIMKbS5bmI","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Puranga Subcounty Field Survey Station 003","vRuSmYiqAwZ","Puranga Subcounty","CyUUpNIQ98L","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Laperebong Subcounty Field Survey Station 002","CYCMFtMgnfI","Laperebong Subcounty","Lf5vTc3Z42M","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Palaro Subcounty Field Survey Station 002","bRt4VDvHDPQ","Palaro Subcounty","N00GWUvXv52","Gulu DLG","JBQsbENkZiC","Gulu District","Gwk4wkLz7EW","Acholi","SUvODYOcaVf"
"Orom Subcounty Field Survey Station 004","auzlyXb92mq","Orom Subcounty","iDEPY2bO8nQ","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Orom Subcounty Field Survey Station 005","wHXti4lneOb","Orom Subcounty","iDEPY2bO8nQ","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Purongo Subcounty Field Survey Station 002","LjL2V3Rp6mk","Purongo Subcounty","GhrSbqvL2At","Nwoya DLG","d4nR8H3NT7o","Nwoya District","zNgVoDVPYgD","Acholi","SUvODYOcaVf"
"Pajule Subcounty Field Survey Station 002","Dm4qPjNc4bc","Pajule Subcounty","elu8zUTsqIW","Pader DLG","GGCkDuPXAJm","Pader District","aBrjuZk0W31","Acholi","SUvODYOcaVf"
"Lagoro Subcounty Field Survey Station 003","lYrwiBVHAUv","Lagoro Subcounty","aUTx89Nc5z1","Kitgum DLG","CSACAoEcsPx","Kitgum District","pnTVIF5v27r","Acholi","SUvODYOcaVf"
"Guru-Guru Subcounty Field Survey Station 003","Y1aTreUsUZn","Guru-Guru Subcounty","tunpJ39KaWx","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Pabo Subcounty Field Survey Station 005","a2a7qNyJg9j","Pabo Subcounty","EgcvIoAN7Ti","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
"Ajali Subcounty Field Survey Station 001","QaoM6583QZW","Ajali Subcounty","vAPl9BMv3lt","Agago DLG","it2iwePQWDT","Agago District","ztIyIYAzFKp","Acholi","SUvODYOcaVf"
"Amuru Town Council Field Survey Station 002","rnSuCabTqe3","Amuru Town Council","YG7bSJaIniu","Amuru DLG","LXM3yaaPjlR","Amuru District","C0RSe3EWBqU","Acholi","SUvODYOcaVf"
